Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"40A Capstick Road, Otara, Manukau City, Auckland",740,4,2,0,Other,Cancy Bernardo,Street Smart Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/otara/listing/5445408041?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:41:34.923651
"5/48 Moire Rd, Massey, Waitakere City, Auckland",650,2,1,1,Townhouse,Rachel Trafford,Private Residence Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/massey/listing/5446382807?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:41:37.235006
"2C/52 Helena Rd, Hillcrest, Hamilton, Waikato",280,1,1,0,Apartment,Sandy Glass,Monarch Realty Ltd,https://www.trademe.co.nz/a/property/residential/rent/waikato/hamilton/hillcrest/listing/5446437036?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:41:42.227752
"44 Bateup Road, Richmond, Tasman, Nelson / Tasman",580,3,1,4,House,Ginnette Smythe,The Rent Shop Nelson,https://www.trademe.co.nz/a/property/residential/rent/nelson-tasman/tasman/richmond/listing/5446478734?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:41:43.999518
"12/137 Hall Ave, Favona, Manukau City, Auckland",580,2,1,0,Other,Kitty Zhang,"Harcourts Reforma, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/favona/listing/5446490683?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:41:45.984848
"7/295 Armagh St, City Centre, Christchurch City, Canterbury",445,2,1,0,Townhouse,Fiona / Anna-Marie,Xclusive Property Management,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/city-centre/listing/5446492689?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:41:49.044314
"8 Tiraumea drive, Pakuranga, Manukau City, Auckland",800,4,3,1,Townhouse,Emman rahimi,Olympia Property,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/pakuranga/listing/5409737707?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:41:51.249894
"11 Castor Crescent, Cannons Creek, Porirua, Wellington",575,3,1,1,Other,Letting Team,Manage My Rentals Limited,https://www.trademe.co.nz/a/property/residential/rent/wellington/porirua/cannons-creek/listing/5445373584?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:41:52.814797
"409B/428 Dominion Road, Mount Eden, Auckland City, Auckland",550,1,1,0,Apartment,David Eum,"Barfoot & Thompson City Rentals, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-eden/listing/5446357075?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:41:55.856334
"1207/9 Princes Street, City Centre, Auckland City, Auckland",1685,3,2,1,Apartment,Sue Christie,Goodwins,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5445703757?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:57.701780
"20 Ferndale Road, Mount Wellington, Auckland City, Auckland",650,2,1,2,House,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-wellington/listing/5445549822?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:41:59.629325
"48A Sapphire Street, Casebrook, Christchurch City, Canterbury",525,2,1,0,Unit,Lisa McKenzie,Wolfbrook Property Management,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/casebrook/listing/5446475996?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:42:02.995304
